dateTime,modComunicacao,modHabitacao,modLaboratorio,modArmazenamento,modEnergia,modSupVida,capEnergia(Kw/h),energiaRest(%),energiaGerada(Kw/h),tempExterna(°C),tempInterna(°C),nivelRadiacao(mSv),qldComunicacao,velVento(m/s),logEventos
2025-05-19 17:33:00,1,1,1,1,1,1,133135.75,9,3001.74,-1.5,24.5,13.699,Estavel,19.4,"['Nível de energia crítica', 'Nível de radiação elevado', 'Vento forte detectado']"
2025-05-24 00:52:00,1,1,1,1,0,0,137887.96,89,4705.13,13.0,27.1,18.782,Estavel,12.9,"['Falha no sistema de energia', 'Falha no sistema de suporte à vida', 'Nível de radiação elevado', 'Vento forte detectado']"
2025-05-30 09:22:00,1,1,1,0,1,1,186037.78,28,2410.58,48.6,25.9,17.515,Estavel,9.4,"['Falha no sistema de armazenamento', 'Geração de energia baixa', 'Temperatura externa fora dos padrões', 'Nível de radiação elevado']"
2025-06-02 12:49:00,0,1,1,1,1,1,123812.49,82,1138.07,-35.6,22.1,12.539,Estavel,2.1,"['Falha no sistema de comunicação', 'Geração de energia baixa', 'Temperatura externa fora dos padrões']"
2025-06-04 09:21:00,1,1,1,1,1,0,128813.58,57,2852.71,7.1,15.7,12.981,Estavel,0.5,['Falha no sistema de suporte à vida']
2025-06-12 02:34:00,1,0,1,1,0,1,156937.25,37,4109.65,-12.2,29.2,14.697,Estavel,19.3,"['Falha no sistema de habitação', 'Falha no sistema de energia', 'Temperatura externa fora dos padrões', 'Nível de radiação elevado', 'Vento forte detectado']"
2025-06-12 03:17:00,1,1,1,1,1,1,114163.94,39,3906.1,-40.5,19.4,15.427,Estavel,4.4,"['Temperatura externa fora dos padrões', 'Nível de radiação elevado']"
2025-06-18 06:32:00,1,1,0,0,1,1,123424.7,82,1835.61,-38.4,28.1,16.011,Instavel,15.9,"['Falha no sistema de laboratório', 'Falha no sistema de armazenamento', 'Geração de energia baixa', 'Temperatura externa fora dos padrões', 'Nível de radiação elevado', 'Vento forte detectado', 'Sistema de comunicação instável']"
2025-06-23 16:46:00,1,1,0,1,1,1,143888.01,28,2719.94,47.0,21.5,6.119,Instavel,14.1,"['Falha no sistema de laboratório', 'Geração de energia baixa', 'Temperatura externa fora dos padrões', 'Vento forte detectado', 'Sistema de comunicação instável']"
2025-06-28 16:24:00,1,1,1,1,1,0,142482.71,3,1122.65,-20.8,19.6,8.367,Estavel,18.2,"['Falha no sistema de suporte à vida', 'Geração de energia baixa', 'Nível de energia crítica', 'Temperatura externa fora dos padrões', 'Vento forte detectado']"
2025-07-01 20:49:00,1,0,1,1,1,1,127033.61,84,3154.02,1.8,16.3,11.113,Estavel,19.5,"['Falha no sistema de habitação', 'Vento forte detectado']"
2025-07-04 04:20:00,1,1,1,0,0,1,139052.49,98,4306.61,-28.7,28.1,10.309,Estavel,1.2,"['Falha no sistema de armazenamento', 'Falha no sistema de energia', 'Temperatura externa fora dos padrões']"
2025-07-04 23:40:00,1,1,1,1,1,1,135671.03,17,1207.35,35.3,16.7,15.92,Estavel,2.1,"['Geração de energia baixa', 'Nível de energia crítica', 'Nível de radiação elevado']"
2025-07-05 07:49:00,1,0,1,0,1,1,212365.92,56,4081.21,39.2,15.2,19.921,Estavel,19.2,"['Falha no sistema de habitação', 'Falha no sistema de armazenamento', 'Nível de radiação elevado', 'Vento forte detectado']"
2025-07-11 00:23:00,1,0,0,1,0,1,214255.62,29,1948.88,-39.4,18.4,6.291,Estavel,1.4,"['Falha no sistema de habitação', 'Falha no sistema de laboratório', 'Falha no sistema de energia', 'Geração de energia baixa', 'Temperatura externa fora dos padrões']"
